# Heimish/Hasidic pronunciation overrides applied on top of the Phonikud-yi engine (data/phonemize.py).
# key = Hebrew-script word or multiword phrase (whitespace separated, punctuation stripped); value = IPA in the
# engine's closed inventory (vowels a aː ɛ ə i u ɔ ej aj ɔj oʊ; ˈ right before the stressed vowel).
# Sources: engine LOW/MED-confidence words reviewed by ear (Fable) for the scripts and the training corpus.
# Multiword keys win over single words (longest match first). Lines starting with # are comments.
נו	nu
סימן	sˈimən
למדן	lˈamdn
תפילין	tfˈilən
תוקע	tˈɔjkɛjə
בעל תוקע	bal tˈɔjkɛjə
ערב	ˈɛrəv
שמעון	ʃˈimən
עליכם	alˈejxəm
שלום עליכם	ʃˈuləm alˈejxəm
עליכם שלום	alˈejxəm ʃˈuləm
דוד	dˈuvid
טשולנט	ʧˈɔlənt
ברוכים הבאים	brˈuxim habˈuim
הבאים	habˈuim
מורא	mˈɔjrə
מורא'דיק	mˈɔjrədik
מורא'דיקע	mˈɔjrədikə
פרוטה	prˈitə
געבלאזן	ɡəblˈuzn
סוחר	sˈɔjxər
סוחרים	sɔjxˈɔrim
יריד	jarˈid
פיטום	pˈitəm
כיפור	kˈipər
כפרות	kapˈɔjrəs
גמר חתימה טובה	ɡmar xasˈimə tˈɔjvə
גמר	ɡmar
חתימה	xasˈimə
טובה	tˈɔjvə
שכן	ʃˈɔxn
שכנים	ʃxˈejnim
עיקר	ˈikər
לעיקוואד	lˈejkvud
שיפונג	ʃˈipinɡ
# --- from reviewing the sukkah/tefillin scripts in context (the ReNikud context reader flips ɛ/ə and u/a on some words)
אווענט	ˈuvnt
טראגעדיע	traɡˈɛdiə
אויפגעשטעלט	ˈɔjfɡəʃtɛlt
לענגערע	lˈɛnɡərə
פארקערט	farkˈɛrt
דארף	darf
וואנט	vant
געזעסן	ɡəzˈɛsn
זוכן	zixn
# --- from the corpus review (top ~220 LOW-confidence words, 2.8M tokens). Most misses: unpointed פ read as f in
#     loanwords/names (policy, computer, Putin), and loshn-koydesh vowels.
פאליסי	pˈalisi
פאליסיס	pˈalisis
קאמפיוטער	kampjˈutər
טראמפ	tramp
טראמפ'ס	tramps
פאסירט	pasˈirt
ספעציעל	spˈɛʦiəl
פובליק	pˈɔblik
פוינט	pɔjnt
פיקטשער	pˈikʧər
פרעשור	prˈɛʃər
אייראפע	ajrˈɔpə
קאמפעני	kˈɔmpəni
ספעיס	spajs
עראפלאן	ɛraplˈan
דעפארטמענט	dipˈartmənt
פוטין	pˈutin
אפשטעלן	ˈɔpʃtɛln
פונקטליך	pˈinktləx
פאלק	fɔlk
צפון	ʦˈɔfn
אופן	ˈɔjfn
מוח	mˈɔjəx
מלכה	mˈalkə
פשוט	pˈɔʃət
פשוט'ע	pˈɔʃətə
פשוט'ער	pˈɔʃətər
כאילו	kəˈilə
מורא'דיג	mˈɔjrədiɡ
מורא'דיגע	mˈɔjrədiɡə
במילא	bəmˈejlə
מילא	mˈejlə
טאן	tin
דזשאו	ʤoʊ
קאוסט	kɔst
בארא	bˈɔrɔ
קאל	kɔl
גענטפערט	ɡəˈɛntfərt
אריינגערעכנט	arˈaːnɡərɛxnt
# --- corpus review, LOW words 221-420 and top MED words
ביהמ"ד	bejs hamˈɛdrəʃ
בית המדרש	bejs hamˈɛdrəʃ
היפאפאטימעס	hipapˈataməs
קאמפליצירט	kampliʦˈirt
קאמפליצירטע	kampliʦˈirtə
אפן	ɔfn
אפענע	ˈɔfənə
סיבות	sˈibəs
קאנסטיטוציע	kanstitˈuʦiə
היות	hˈejɔjs
פלין	plejn
פריוואטע	prˈivatə
פריוואט	privˈat
פראצעס	prˈɔʦɛs
קאמפעניס	kˈɔmpənis
קאמפאני	kˈɔmpani
רעוואלוציע	rɛvalˈuʦiə
פאול	pɔl
אפיציעל	ɔfiʦiˈɛl
אפיציעלע	ɔfiʦiˈɛlə
קאמפיוטערס	kampjˈutərs
מעיאר	mˈejər
מצליח	maʦlˈiəx
שעיפ	ʃejp
שמואל	ʃmˈiəl
פראוד	proʊd
עפיסוד	ˈɛpisɔd
פאוער	pˈaər
דיפארטמענט	dipˈartmənt
מציאות	mˈɛʦiəs
ספענדן	spɛndn
פייפ	pajp
אימפעריע	impˈɛriə
קאמפעין	kampˈejn
הנאה	hanˈuə
מצה	mˈaʦə
פראיעקט	prɔjˈɛkt
אויסגעשטעלט	ˈoʊsɡəʃtɛlt
שייכות	ʃˈajxəs
דעי	dej
דעיס	dejs
עי	ej
סטעיט	stejt
סטעיטס	stejts
קעיס	kejs
דרום	dˈurəm
מ'דארף	mdarf
מלוה	mˈalvə
מלוה מלכה	mˈalvə mˈalkə
בעיקר	bəˈikər
עיר	ir
# --- from Whisper on the first IPA renders: כ with dagesh in סוכה is k, the engine read it as x
סוכה	sˈikə
# --- news line test (loanwords with unpointed א read as a instead of ɔ)
ארדער	ˈɔrdər
בלאקירט	blɔkˈirt
בלאקירן	blɔkˈirn
בויקאטירן	bɔjkɔtˈirn
בויקאט	bˈɔjkɔt
אויסלענדישע	ˈɔjslɛndiʃə
אויסלענדיש	ˈɔjslɛndiʃ
רעגירונגן	rəɡˈirinɡn
רעגירונגען	rəɡˈirinɡən
מדינת	mədˈinas
# --- corpus review batch 3 (LOW 421-700, MED 121-260)
שופר	ʃˈɔjfər
ספעשל	spˈɛʃl
אפגעשטעלט	ˈɔpɡəʃtɛlt
שאול	ʃˈuəl
צוזאמגעשטעלט	ʦˈizamɡəʃtɛlt
אוקריינע	ukrˈajnə
פראטעסטן	prɔtˈɛstn
פראטעסט	prɔtˈɛst
פעיפער	pˈejpər
פראקוראר	prɔkurˈɔr
פראקורארן	prɔkurˈɔrn
עלעוועיטאר	ˈɛləvejtər
סופליי	səplˈaj
פראדזשעקט	prˈɔʤɛkt
טראפ	trɔp
רעפובליק	rɛpˈublik
קאונסיל	kˈoʊnsil
קערפער	kˈɛrpər
געטא	ɡˈɛtɔ
קרבנות	kɔrbˈunəs
ספיד	spid
עראפלעין	ˈɛrɔplejn
פראפעסאר	prɔfˈɛsɔr
עראפלאנען	ɛraplˈanən
חסידות	xsˈidəs
חסידישע	xsˈidiʃə
חסידישער	xsˈidiʃər
חסידיש	xsˈidiʃ
פערזענליך	pˈɛrzənləx
פערזענליכע	pˈɛrzənləxə
אליאירטע	aliˈirtə
באמבע	bˈɔmbə
טענות	tˈajnəs
עקספערטן	ˈɛkspɛrtn
עקספערט	ˈɛkspɛrt
פראוועט	prˈavət
עקספיריענס	ɛkspˈiriəns
ספיקער	spˈikər
פיקטשערס	pˈikʧərs
אימפיעטשמענט	impˈiʧmənt
רשות	rəʃˈis
פראצעדור	prɔʦədˈur
אפצושטעלן	ˈɔpʦiʃtɛln
פראפערטי	prˈɔpərti
סאושעל	sˈoʊʃəl
פעידזש	pejʤ
פלאנעט	plˈanət
פרוביר	prubˈir
פרובירט	prubˈirt
פרובירן	prubˈirn
אויסגערעכנט	ˈoʊsɡərɛxnt
קאונטי	kˈoʊnti
פוינטס	pɔjnʦ
מחבר	məxˈabər
פראסעס	prˈɔsɛs
בפרט	bifrˈat
סטאון	stoʊn
מחלה	mˈaxlə
נפטר	nˈiftər
מסכים	mˈaskim
עובד	ˈɔjvəd
קהילה	kəhˈilə
מודה	mˈɔjdə
נקודה	nəkˈidə
# --- new scripts (chasene, shnei, bungalow)
בדחן	bˈadxn
פאריגע	fˈuriɡə
פאפירן	papˈirn
פאפיר	papˈir
חתונות	xasˈinəs
טרערן	trɛrn
מחותנים	məxətˈunim
מחותן	məxˈutn
מענדל	mɛndl
פארגעסן	farɡˈɛsn
שאוול	ʃˈavəl
בערל	bɛrl
שכן'ס	ʃˈɔxns
אויסגעגראבן	ˈɔjsɡəɡrubn
מאנטיסעלא	mɔntisˈɛlɔ
ראד	rud
פלאט	flat
ספער	spɛr
גאראזש	ɡarˈaʒ
מיניוואן	mˈinivan
# --- Yiddish 24 bulletin test
אינפלאציע	inflˈaʦiə
אנגעצויגנקייט	ˈunɡəʦɔjɡnkajt
אנגעצויגן	ˈunɡəʦɔjɡn
# --- Yiddish 24 website bulletin items (loanwords; the context reader also flips ɛ -> ə on many words)
וואל	vɔl
אפסטעיט	ˈɔpstejt
בעלאטס	bˈɛlaʦ
פראבירן	prubˈirn
ענדערש	ˈɛndərʃ
דראפ	drɔp
באקסעס	bˈaksəs
ערלי	ˈɛrli
וואטינג	vˈoʊtinɡ
אווער	ˈoʊvər
קאונטער	kˈoʊntər
רוף	rif
געזעץ	ɡəzˈɛʦ
אנגייענדע	ˈunɡajəndə
דילעיס	dilˈejs
חשבון	xˈɛʃbɔjn
פאסט-זיגל	pɔst zˈiɡl
באשטעטיגונג	baʃtˈɛtiɡinɡ
באשטעטיגונגן	baʃtˈɛtiɡinɡn
באשטעטיגן	baʃtˈɛtiɡn
באשטעטיגט	baʃtˈɛtiɡt
מאימאנעדיס	majmˈɔnədis
העלטה	hɛlt
פלענינג	plˈɛninɡ
קאנסול	kˈoʊnsil
ענדגילטיגע	ˈɛndɡiltiɡə
רעגולעטארי	rˈɛɡjulətɔri
לעגאלע	lˈɛɡalə
בעפאר	bifˈɔr
פארטיג	fˈartiɡ
עסקנים	askˈunim
ערווארטעט	ˈɛrvartət
קאמף	kamf
עף-זעכצן	ɛf zˈɛxʦn
זעכצן	zˈɛxʦn
פילאט	pilˈɔt
ערד	ɛrd
העלישע	hˈɛliʃə
פלאמען	flˈamən
ארויסגעגעבן	arˈɔjsɡəɡɛbn
קראך	krax
סצענע	sʦˈɛnə
